disease,exposure
heart_attack,3_Hydroxyfluorene
heart_attack,AAMA
heart_attack,AMCC
heart_attack,Acrylamide
heart_attack,Antimony
heart_attack,CEMA
heart_attack,CYMA
heart_attack,Cadmium
heart_attack,Cesium
heart_attack,Cobalt
heart_attack,DHBMA
heart_attack,Ethylene_Oxide
heart_attack,Formaldehyde
heart_attack,GAMA
heart_attack,HEMA
heart_attack,HPMMA
heart_attack,Iodine
heart_attack,Lead
heart_attack,MA
heart_attack,MHBMA2
heart_attack,MHBMA3
heart_attack,Manganese
heart_attack,Mercury
heart_attack,Molybdenum
heart_attack,PGA
heart_attack,PHEMA
heart_attack,PMA
heart_attack,Serum_Selenium
heart_attack,TNE2
heart_attack,Tin
heart_attack,Total_Cotinine
heart_attack,Total_Hydroxycotinine
heart_attack,Tungsten
heart_attack,Uranium
heart_attack,perchlorate
heart_attack,thiocyanate
hypertension,22DCVMA
hypertension,2HPMA
hypertension,2MHA
hypertension,2_Hydroxyfluorene
hypertension,2_Hydroxynaphthalene
hypertension,3HPMA
hypertension,3_Hydroxyfluorene
hypertension,ATCA
hypertension,Acrylamide
hypertension,Antimony
hypertension,Barium
hypertension,CYMA
hypertension,Cesium
hypertension,Ethylene_Oxide
hypertension,GAMA
hypertension,Glycidamide
hypertension,HEMA
hypertension,Lead
hypertension,MHBMA2
hypertension,Manganese
hypertension,Mercury
hypertension,Molybdenum
hypertension,PGA
hypertension,PHEMA
hypertension,PMA
hypertension,Serum_Copper
hypertension,Serum_Selenium
hypertension,Serum_Zinc
hypertension,Strontium
hypertension,Tin
hypertension,Total_Cotinine
hypertension,Total_Hydroxycotinine
hypertension,Tungsten
hypertension,Uranium
hypertension,nitrate
osteoporosis,1_Hydroxynaphthalene
osteoporosis,1_Hydroxyphenanthrene
osteoporosis,22DCVMA
osteoporosis,23_Hydroxyphenanthrene
osteoporosis,2HPMA
osteoporosis,2_Hydroxyfluorene
osteoporosis,2_Hydroxynaphthalene
osteoporosis,3&4MHA
osteoporosis,3HPMA
osteoporosis,3_Hydroxyfluorene
osteoporosis,AAMA
osteoporosis,Acrylamide
osteoporosis,BPMA
osteoporosis,Barium
osteoporosis,CEMA
osteoporosis,CYMA
osteoporosis,Cadmium
osteoporosis,Cesium
osteoporosis,Cobalt
osteoporosis,DHBMA
osteoporosis,Ethylene_Oxide
osteoporosis,GAMA
osteoporosis,HEMA
osteoporosis,HPMMA
osteoporosis,Lead
osteoporosis,MA
osteoporosis,MHBMA2
osteoporosis,Manganese
osteoporosis,Mercury
osteoporosis,Molybdenum
osteoporosis,PGA
osteoporosis,PHEMA
osteoporosis,PMA
osteoporosis,Serum_Copper
osteoporosis,Strontium
osteoporosis,TNE2
osteoporosis,Thallium
osteoporosis,Total_Cotinine
osteoporosis,Total_Hydroxycotinine
osteoporosis,Tungsten
osteoporosis,nitrate
osteoporosis,thiocyanate
